,Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites,Drug Regimen,Sex,Age_months,Weight (g)
490,d251,45,37.3,2,Ramicane,Female,8,19
491,j989,0,45.0,0,Ramicane,Male,8,19
492,j989,5,45.6,1,Ramicane,Male,8,19
493,j989,10,46.3,1,Ramicane,Male,8,19
494,j989,15,41.1,1,Ramicane,Male,8,19
495,j989,20,41.6,1,Ramicane,Male,8,19
496,j989,25,39.9,1,Ramicane,Male,8,19
497,j989,30,34.7,1,Ramicane,Male,8,19
498,j989,35,35.1,1,Ramicane,Male,8,19
499,j989,40,35.5,1,Ramicane,Male,8,19
500,j989,45,36.1,1,Ramicane,Male,8,19
501,y449,0,45.0,0,Ramicane,Male,19,24
502,y449,5,45.9,0,Ramicane,Male,19,24
503,y449,10,46.4,0,Ramicane,Male,19,24
504,y449,15,44.2,0,Ramicane,Male,19,24
505,k403,0,45.0,0,Ramicane,Male,21,16
506,k403,5,38.8,0,Ramicane,Male,21,16
507,k403,10,35.0,1,Ramicane,Male,21,16
508,k403,15,34.2,1,Ramicane,Male,21,16
509,k403,20,33.0,1,Ramicane,Male,21,16
510,k403,25,33.5,1,Ramicane,Male,21,16
511,k403,30,31.1,1,Ramicane,Male,21,16
512,k403,35,26.5,1,Ramicane,Male,21,16
513,k403,40,24.4,1,Ramicane,Male,21,16
514,k403,45,22.1,1,Ramicane,Male,21,16
515,c758,0,45.0,0,Ramicane,Male,9,17
516,c758,5,45.6,0,Ramicane,Male,9,17
517,c758,10,46.3,0,Ramicane,Male,9,17
518,c758,15,46.9,1,Ramicane,Male,9,17
519,c758,20,43.1,1,Ramicane,Male,9,17
520,c758,25,43.6,1,Ramicane,Male,9,17
521,c758,30,44.1,1,Ramicane,Male,9,17
522,c758,35,37.8,1,Ramicane,Male,9,17
523,c758,40,32.8,1,Ramicane,Male,9,17
524,c758,45,33.4,1,Ramicane,Male,9,17
535,r811,0,45.0,0,Ramicane,Male,9,19
536,r811,5,45.6,0,Ramicane,Male,9,19
537,r811,10,39.5,0,Ramicane,Male,9,19
538,r811,15,40.0,0,Ramicane,Male,9,19
539,r811,20,40.8,0,Ramicane,Male,9,19
540,r811,25,37.6,0,Ramicane,Male,9,19
541,r811,30,38.2,0,Ramicane,Male,9,19
542,r811,35,36.0,1,Ramicane,Male,9,19
543,r811,40,36.5,1,Ramicane,Male,9,19
544,r811,45,37.2,1,Ramicane,Male,9,19
545,a644,0,45.0,0,Ramicane,Female,7,17
546,a644,5,45.6,0,Ramicane,Female,7,17
547,a644,10,46.4,0,Ramicane,Female,7,17
548,a644,15,46.9,0,Ramicane,Female,7,17
549,a644,20,45.9,0,Ramicane,Female,7,17
550,a644,25,41.5,0,Ramicane,Female,7,17
551,a644,30,37.2,0,Ramicane,Female,7,17
552,a644,35,35.1,0,Ramicane,Female,7,17
553,a644,40,35.8,0,Ramicane,Female,7,17
554,a644,45,33.0,1,Ramicane,Female,7,17
555,i177,0,45.0,0,Ramicane,Male,10,18
556,i177,5,44.1,0,Ramicane,Male,10,18
557,i177,10,41.0,0,Ramicane,Male,10,18
558,i177,15,40.3,0,Ramicane,Male,10,18
559,i177,20,35.3,0,Ramicane,Male,10,18
560,i177,25,34.1,1,Ramicane,Male,10,18
561,i177,30,34.7,1,Ramicane,Male,10,18
562,i177,35,35.2,1,Ramicane,Male,10,18
563,i177,40,35.6,2,Ramicane,Male,10,18
564,i177,45,33.6,3,Ramicane,Male,10,18
565,g791,0,45.0,0,Ramicane,Male,11,16
566,g791,5,45.9,0,Ramicane,Male,11,16
567,g791,10,40.2,0,Ramicane,Male,11,16
568,g791,15,40.7,0,Ramicane,Male,11,16
569,g791,20,41.2,0,Ramicane,Male,11,16
570,g791,25,35.6,1,Ramicane,Male,11,16
571,g791,30,35.0,1,Ramicane,Male,11,16
572,g791,35,31.0,1,Ramicane,Male,11,16
573,g791,40,31.4,1,Ramicane,Male,11,16
574,g791,45,29.1,1,Ramicane,Male,11,16
575,a520,0,45.0,0,Ramicane,Male,13,21
576,a520,5,38.7,0,Ramicane,Male,13,21
577,a520,10,36.4,0,Ramicane,Male,13,21
578,a520,15,35.6,0,Ramicane,Male,13,21
579,a520,20,35.9,0,Ramicane,Male,13,21
580,a520,25,36.6,1,Ramicane,Male,13,21
581,a520,30,36.9,1,Ramicane,Male,13,21
582,a520,35,37.6,1,Ramicane,Male,13,21
583,a520,40,38.3,1,Ramicane,Male,13,21
584,a520,45,38.8,1,Ramicane,Male,13,21
585,u196,0,45.0,0,Ramicane,Male,18,25
586,u196,5,45.6,1,Ramicane,Male,18,25
587,u196,10,46.4,1,Ramicane,Male,18,25
588,u196,15,47.2,1,Ramicane,Male,18,25
589,u196,20,46.1,1,Ramicane,Male,18,25
590,u196,25,46.7,1,Ramicane,Male,18,25
591,u196,30,47.6,2,Ramicane,Male,18,25
592,u196,35,47.0,2,Ramicane,Male,18,25
593,u196,40,43.5,2,Ramicane,Male,18,25
594,u196,45,40.7,3,Ramicane,Male,18,25
595,m546,0,45.0,0,Ramicane,Male,18,16
596,m546,5,43.0,0,Ramicane,Male,18,16
597,m546,10,43.7,0,Ramicane,Male,18,16
598,m546,15,39.9,0,Ramicane,Male,18,16
599,m546,20,36.7,0,Ramicane,Male,18,16
600,m546,25,37.4,0,Ramicane,Male,18,16
601,m546,30,38.0,0,Ramicane,Male,18,16
602,m546,35,38.6,1,Ramicane,Male,18,16
603,m546,40,35.1,1,Ramicane,Male,18,16
604,m546,45,30.6,1,Ramicane,Male,18,16
605,w678,0,45.0,0,Ramicane,Female,5,24
606,w678,5,43.2,0,Ramicane,Female,5,24
607,n364,0,45.0,0,Ramicane,Male,4,17
608,n364,5,45.5,0,Ramicane,Male,4,17
609,n364,10,40.4,0,Ramicane,Male,4,17
610,n364,15,36.9,0,Ramicane,Male,4,17
611,n364,20,37.5,0,Ramicane,Male,4,17
612,n364,25,33.2,0,Ramicane,Male,4,17
613,n364,30,33.8,0,Ramicane,Male,4,17
614,n364,35,34.5,1,Ramicane,Male,4,17
615,n364,40,35.0,1,Ramicane,Male,4,17
616,n364,45,31.1,1,Ramicane,Male,4,17
617,s508,0,45.0,0,Ramicane,Male,1,17
618,s508,5,38.7,0,Ramicane,Male,1,17
619,s508,10,34.9,0,Ramicane,Male,1,17
620,s508,15,35.3,0,Ramicane,Male,1,17
621,s508,20,35.9,0,Ramicane,Male,1,17
622,s508,25,36.3,0,Ramicane,Male,1,17
623,s508,30,35.5,0,Ramicane,Male,1,17
624,s508,35,35.8,0,Ramicane,Male,1,17
625,s508,40,32.8,0,Ramicane,Male,1,17
626,s508,45,30.3,0,Ramicane,Male,1,17
627,e662,0,45.0,0,Ramicane,Male,8,24
628,e662,5,45.8,0,Ramicane,Male,8,24
629,e662,10,46.4,0,Ramicane,Male,8,24
630,e662,15,43.6,0,Ramicane,Male,8,24
631,e662,20,44.0,0,Ramicane,Male,8,24
632,e662,25,44.7,1,Ramicane,Male,8,24
633,e662,30,45.4,1,Ramicane,Male,8,24
634,e662,35,43.2,1,Ramicane,Male,8,24
635,e662,40,44.0,2,Ramicane,Male,8,24
636,e662,45,40.7,2,Ramicane,Male,8,24
637,z578,0,45.0,0,Ramicane,Male,11,16
638,z578,5,42.2,0,Ramicane,Male,11,16
639,z578,10,43.0,0,Ramicane,Male,11,16
640,z578,15,38.7,0,Ramicane,Male,11,16
641,z578,20,36.9,0,Ramicane,Male,11,16
642,z578,25,37.4,0,Ramicane,Male,11,16
643,z578,30,37.8,0,Ramicane,Male,11,16
644,z578,35,38.5,0,Ramicane,Male,11,16
645,z578,40,34.0,0,Ramicane,Male,11,16
646,z578,45,30.6,0,Ramicane,Male,11,16
647,r921,0,45.0,0,Ramicane,Female,5,25
648,r921,5,45.6,0,Ramicane,Female,5,25
649,r921,10,42.7,0,Ramicane,Female,5,25
650,r921,15,43.5,0,Ramicane,Female,5,25
651,r921,20,44.1,0,Ramicane,Female,5,25
652,r921,25,42.7,1,Ramicane,Female,5,25
653,r921,30,43.4,1,Ramicane,Female,5,25
876,v719,0,45.0,0,Infubinol,Female,17,30
877,v719,5,47.2,0,Infubinol,Female,17,30
878,v719,10,51.5,1,Infubinol,Female,17,30
879,v719,15,52.6,1,Infubinol,Female,17,30
880,v719,20,54.0,1,Infubinol,Female,17,30
881,q597,0,45.0,0,Ramicane,Male,20,25
882,q597,5,45.8,0,Ramicane,Male,20,25
883,q597,10,42.5,0,Ramicane,Male,20,25
884,q597,15,41.4,0,Ramicane,Male,20,25
885,q597,20,41.9,0,Ramicane,Male,20,25
886,q597,25,42.6,1,Ramicane,Male,20,25
887,q597,30,43.3,1,Ramicane,Male,20,25
888,q597,35,43.8,1,Ramicane,Male,20,25
889,q597,40,44.5,2,Ramicane,Male,20,25
890,q597,45,45.2,2,Ramicane,Male,20,25
891,c895,0,45.0,0,Infubinol,Female,7,29
892,c895,5,45.5,0,Infubinol,Female,7,29
893,c895,10,49.8,0,Infubinol,Female,7,29
894,c895,15,52.9,1,Infubinol,Female,7,29
895,c895,20,53.7,2,Infubinol,Female,7,29
896,c895,25,57.5,2,Infubinol,Female,7,29
897,c895,30,61.0,2,Infubinol,Female,7,29
898,a203,0,45.0,0,Infubinol,Female,20,23
899,a203,5,48.5,0,Infubinol,Female,20,23
900,a203,10,51.9,1,Infubinol,Female,20,23
901,a203,15,52.8,1,Infubinol,Female,20,23
902,a203,20,55.2,1,Infubinol,Female,20,23
903,a203,25,56.8,1,Infubinol,Female,20,23
904,a203,30,59.5,1,Infubinol,Female,20,23
905,a203,35,61.9,2,Infubinol,Female,20,23
906,a203,40,63.6,2,Infubinol,Female,20,23
907,a203,45,68.0,2,Infubinol,Female,20,23
1304,x822,0,45.0,0,Ceftamin,Male,3,29
1305,x822,5,45.7,1,Ceftamin,Male,3,29
1306,x822,10,49.0,1,Ceftamin,Male,3,29
1307,x822,15,49.7,1,Ceftamin,Male,3,29
1308,x822,20,51.9,2,Ceftamin,Male,3,29
1309,x822,25,54.0,2,Ceftamin,Male,3,29
1310,x822,30,55.4,2,Ceftamin,Male,3,29
1311,x822,35,56.8,2,Ceftamin,Male,3,29
1312,x822,40,59.6,2,Ceftamin,Male,3,29
1313,x822,45,61.4,3,Ceftamin,Male,3,29
1314,l558,0,45.0,0,Ceftamin,Female,13,30
1315,l558,5,45.8,0,Ceftamin,Female,13,30
1316,l558,10,46.8,0,Ceftamin,Female,13,30
1317,l733,0,45.0,0,Ceftamin,Female,4,30
1318,l733,5,46.2,0,Ceftamin,Female,4,30
1319,l733,10,48.4,0,Ceftamin,Female,4,30
1320,l733,15,49.3,0,Ceftamin,Female,4,30
1321,l733,20,53.2,1,Ceftamin,Female,4,30
1322,l733,25,55.0,1,Ceftamin,Female,4,30
1323,l733,30,56.3,1,Ceftamin,Female,4,30
1324,l733,35,57.6,1,Ceftamin,Female,4,30
1325,l733,40,59.4,1,Ceftamin,Female,4,30
1326,l733,45,64.3,1,Ceftamin,Female,4,30
1327,f436,0,45.0,0,Ceftamin,Female,3,25
1328,f436,5,46.4,1,Ceftamin,Female,3,25
1329,f436,10,48.1,2,Ceftamin,Female,3,25
1330,f436,15,48.7,2,Ceftamin,Female,3,25
1331,l490,0,45.0,0,Ceftamin,Male,24,26
1332,l490,5,45.6,1,Ceftamin,Male,24,26
1333,l490,10,47.3,1,Ceftamin,Male,24,26
1334,l490,15,50.5,1,Ceftamin,Male,24,26
1335,l490,20,51.9,1,Ceftamin,Male,24,26
1336,l490,25,55.8,2,Ceftamin,Male,24,26
1337,l490,30,57.9,3,Ceftamin,Male,24,26
1338,b759,0,45.0,0,Ceftamin,Female,12,25
1339,b759,5,48.0,0,Ceftamin,Female,12,25
1340,b759,10,49.1,0,Ceftamin,Female,12,25
1341,b759,15,51.6,0,Ceftamin,Female,12,25
1342,b759,20,54.4,0,Ceftamin,Female,12,25
1343,b759,25,55.1,0,Ceftamin,Female,12,25
1344,b759,30,55.7,1,Ceftamin,Female,12,25
1345,l471,0,45.0,0,Ceftamin,Female,7,28
1346,l471,5,46.3,0,Ceftamin,Female,7,28
1347,l471,10,48.2,0,Ceftamin,Female,7,28
1348,l471,15,49.4,0,Ceftamin,Female,7,28
1349,l471,20,52.2,0,Ceftamin,Female,7,28
1350,l471,25,52.8,1,Ceftamin,Female,7,28
1351,l471,30,58.1,1,Ceftamin,Female,7,28
1352,l471,35,61.4,1,Ceftamin,Female,7,28
1353,l471,40,63.8,1,Ceftamin,Female,7,28
1354,l471,45,67.7,1,Ceftamin,Female,7,28
1355,y865,0,45.0,0,Ceftamin,Male,23,26
1356,y865,5,46.7,1,Ceftamin,Male,23,26
1357,y865,10,49.5,1,Ceftamin,Male,23,26
1358,y865,15,50.8,1,Ceftamin,Male,23,26
1359,y865,20,52.4,1,Ceftamin,Male,23,26
1360,y865,25,57.2,2,Ceftamin,Male,23,26
1361,y865,30,59.0,3,Ceftamin,Male,23,26
1362,y865,35,61.2,3,Ceftamin,Male,23,26
1363,y865,40,63.5,3,Ceftamin,Male,23,26
1364,y865,45,64.7,3,Ceftamin,Male,23,26
1365,y769,0,45.0,0,Ceftamin,Female,6,27
1366,y769,5,46.4,1,Ceftamin,Female,6,27
1367,y769,10,48.0,1,Ceftamin,Female,6,27
1368,y769,15,52.8,2,Ceftamin,Female,6,27
1369,y769,20,55.0,2,Ceftamin,Female,6,27
1370,y769,25,58.3,3,Ceftamin,Female,6,27
1371,y769,30,61.1,3,Ceftamin,Female,6,27
1372,y769,35,63.4,3,Ceftamin,Female,6,27
1373,y769,40,64.3,4,Ceftamin,Female,6,27
1374,y769,45,68.6,4,Ceftamin,Female,6,27
1375,l661,0,45.0,0,Ceftamin,Male,18,26
1376,l661,5,46.3,0,Ceftamin,Male,18,26
1377,l661,10,49.7,0,Ceftamin,Male,18,26
1378,l661,15,50.9,1,Ceftamin,Male,18,26
1379,l661,20,52.6,1,Ceftamin,Male,18,26
1380,l661,25,53.2,2,Ceftamin,Male,18,26
1381,l661,30,55.3,2,Ceftamin,Male,18,26
1382,l661,35,56.5,2,Ceftamin,Male,18,26
1383,l661,40,59.2,3,Ceftamin,Male,18,26
1384,l661,45,59.9,3,Ceftamin,Male,18,26
1385,j296,0,45.0,0,Ceftamin,Female,24,30
1386,j296,5,46.8,1,Ceftamin,Female,24,30
1387,j296,10,48.5,2,Ceftamin,Female,24,30
1388,j296,15,50.7,2,Ceftamin,Female,24,30
1389,j296,20,54.0,3,Ceftamin,Female,24,30
1390,j296,25,55.8,3,Ceftamin,Female,24,30
1391,j296,30,56.8,3,Ceftamin,Female,24,30
1392,j296,35,58.7,3,Ceftamin,Female,24,30
1393,j296,40,60.1,3,Ceftamin,Female,24,30
1394,j296,45,61.8,3,Ceftamin,Female,24,30
1395,u149,0,45.0,0,Ceftamin,Male,24,29
1396,u149,5,45.8,0,Ceftamin,Male,24,29
1397,u149,10,47.4,0,Ceftamin,Male,24,29
1398,u149,15,48.5,0,Ceftamin,Male,24,29
1399,u149,20,50.4,0,Ceftamin,Male,24,29
1400,u149,25,52.9,0,Ceftamin,Male,24,29
1401,u153,0,45.0,0,Ceftamin,Female,11,25
1402,w151,0,45.0,0,Ceftamin,Male,24,25
1403,w151,5,45.5,1,Ceftamin,Male,24,25
1404,w151,10,46.5,1,Ceftamin,Male,24,25
1405,w151,15,47.2,1,Ceftamin,Male,24,25
1406,w151,20,49.6,2,Ceftamin,Male,24,25
1407,w151,25,51.9,2,Ceftamin,Male,24,25
1408,w151,30,56.8,2,Ceftamin,Male,24,25
1409,w151,35,58.3,2,Ceftamin,Male,24,25
1410,w151,40,62.2,2,Ceftamin,Male,24,25
1411,w151,45,67.5,3,Ceftamin,Male,24,25
1412,h531,0,45.0,0,Ceftamin,Male,5,27
1413,h531,5,47.8,0,Ceftamin,Male,5,27
1414,a685,0,45.0,0,Infubinol,Male,8,30
1415,a685,5,46.9,0,Infubinol,Male,8,30
1416,a685,10,47.7,0,Infubinol,Male,8,30
1417,a685,15,49.0,0,Infubinol,Male,8,30
1418,a685,20,49.5,0,Infubinol,Male,8,30
1419,a685,25,51.9,0,Infubinol,Male,8,30
1420,a685,30,55.5,1,Infubinol,Male,8,30
1421,a685,35,58.1,1,Infubinol,Male,8,30
1422,a685,40,60.6,2,Infubinol,Male,8,30
1423,a685,45,66.1,3,Infubinol,Male,8,30
1424,o813,0,45.0,0,Infubinol,Male,24,28
1425,o813,5,45.7,0,Infubinol,Male,24,28
1426,m756,0,45.0,0,Infubinol,Male,19,30
1427,m756,5,47.0,1,Infubinol,Male,19,30
1428,n671,0,45.0,0,Infubinol,Male,18,25
1429,n671,5,47.4,0,Infubinol,Male,18,25
1430,n671,10,51.0,0,Infubinol,Male,18,25
1431,n671,15,54.2,0,Infubinol,Male,18,25
1432,n671,20,54.8,0,Infubinol,Male,18,25
1433,n671,25,56.2,0,Infubinol,Male,18,25
1434,n671,30,60.2,0,Infubinol,Male,18,25
1435,s121,0,45.0,0,Infubinol,Male,23,26
1436,s121,5,45.6,1,Infubinol,Male,23,26
1437,s121,10,49.0,1,Infubinol,Male,23,26
1438,s121,15,50.8,2,Infubinol,Male,23,26
1439,s121,20,52.0,2,Infubinol,Male,23,26
1440,s121,25,55.7,2,Infubinol,Male,23,26
1441,v766,0,45.0,0,Infubinol,Male,16,27
1442,v766,5,48.2,1,Infubinol,Male,16,27
1443,v766,10,50.4,1,Infubinol,Male,16,27
1444,v766,15,51.5,1,Infubinol,Male,16,27
1445,w193,0,45.0,0,Infubinol,Male,22,30
1446,w193,5,45.5,0,Infubinol,Male,22,30
1447,w193,10,48.3,0,Infubinol,Male,22,30
1448,w193,15,49.4,0,Infubinol,Male,22,30
1449,w193,20,50.0,0,Infubinol,Male,22,30
1450,e476,0,45.0,0,Infubinol,Male,23,26
1451,e476,5,47.1,0,Infubinol,Male,23,26
1452,e476,10,49.4,0,Infubinol,Male,23,26
1453,e476,15,54.0,0,Infubinol,Male,23,26
1454,e476,20,55.2,0,Infubinol,Male,23,26
1455,e476,25,57.4,0,Infubinol,Male,23,26
1456,e476,30,58.0,1,Infubinol,Male,23,26
1457,e476,35,60.1,1,Infubinol,Male,23,26
1458,e476,40,61.5,1,Infubinol,Male,23,26
1459,e476,45,62.4,1,Infubinol,Male,23,26
1460,w584,0,45.0,0,Infubinol,Male,3,29
1461,w584,5,46.1,0,Infubinol,Male,3,29
1462,w584,10,47.3,0,Infubinol,Male,3,29
1463,w584,15,51.3,0,Infubinol,Male,3,29
1464,w584,20,53.3,1,Infubinol,Male,3,29
1465,w584,25,55.7,1,Infubinol,Male,3,29
1466,w584,30,58.3,1,Infubinol,Male,3,29
1467,b447,0,45.0,0,Ceftamin,Male,2,30
1468,k210,0,45.0,0,Ceftamin,Male,15,28
1469,k210,5,47.9,0,Ceftamin,Male,15,28
1470,k210,10,49.4,0,Ceftamin,Male,15,28
1471,k210,15,51.1,0,Ceftamin,Male,15,28
1472,k210,20,52.0,0,Ceftamin,Male,15,28
1473,k210,25,54.6,0,Ceftamin,Male,15,28
1474,k210,30,60.0,1,Ceftamin,Male,15,28
1475,k210,35,63.3,1,Ceftamin,Male,15,28
1476,k210,40,66.6,2,Ceftamin,Male,15,28
1477,k210,45,68.9,3,Ceftamin,Male,15,28
1478,a275,0,45.0,0,Ceftamin,Female,20,28
1479,a275,5,46.8,0,Ceftamin,Female,20,28
1480,a275,10,47.4,0,Ceftamin,Female,20,28
1481,a275,15,49.7,0,Ceftamin,Female,20,28
1482,a275,20,50.5,1,Ceftamin,Female,20,28
